person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
Deputy U.S. Marshal Sherman Russell,"United States Department of Justice - United States Marshals Service, US","EOW: Wednesday, July 12, 1893",Cause of Death: Gunfire,Gunfire,1893-07-12,1893,FALSE,United States Department of Justice - United States Marshals Service, US
Town Marshal Andrew J. Blunk,"Parkland Police Department, KY","EOW: Saturday, July 29, 1893",Cause of Death: Gunfire,Gunfire,1893-07-29,1893,FALSE,Parkland Police Department, KY
Detective James A. Harvey,"Syracuse Police Department, NY","EOW: Tuesday, August 1, 1893",Cause of Death: Gunfire,Gunfire,1893-08-01,1893,FALSE,Syracuse Police Department, NY
Constable W. Riley Burnett,"Dallas County Constable's Office - Precinct 8, TX","EOW: Wednesday, August 2, 1893",Cause of Death: Gunfire,Gunfire,1893-08-02,1893,FALSE,Dallas County Constable's Office - Precinct 8, TX
"Patrolman John Englehart, Jr.","Mansfield Police Department, OH","EOW: Monday, August 7, 1893",Cause of Death: Struck by train,Struck by train,1893-08-07,1893,FALSE,Mansfield Police Department, OH
Deputy City Marshal Louis W. Ahlers,"Victoria Police Department, TX","EOW: Tuesday, August 8, 1893",Cause of Death: Gunfire,Gunfire,1893-08-08,1893,FALSE,Victoria Police Department, TX
Special Deputy Marshal J. Perry Griggs,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, August 10, 1893",Cause of Death: Gunfire,Gunfire,1893-08-10,1893,FALSE,United States Department of Justice - United States Marshals Service, US
Chief Marshal Robert Gaston,"Aiken Department of Public Safety, SC","EOW: Friday, August 18, 1893",Cause of Death: Gunfire,Gunfire,1893-08-18,1893,FALSE,Aiken Department of Public Safety, SC
Deputy U.S. Marshal Joe Gaines,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, August 22, 1893",Cause of Death: Gunfire,Gunfire,1893-08-22,1893,FALSE,United States Department of Justice - United States Marshals Service, US
Policeman George Murphy,"Martins Ferry Police Department, OH","EOW: Friday, September 1, 1893",Cause of Death: Gunfire,Gunfire,1893-09-01,1893,FALSE,Martins Ferry Police Department, OH
Special Deputy Marshal Richard Speed,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, September 1, 1893",Cause of Death: Gunfire,Gunfire,1893-09-01,1893,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal Thomas J. Hueston,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, September 2, 1893",Cause of Death: Gunfire,Gunfire,1893-09-02,1893,FALSE,United States Department of Justice - United States Marshals Service, US
Officer Evan Paulson,"Mayville Police Department, ND","EOW: Sunday, September 3, 1893",Cause of Death: Gunfire,Gunfire,1893-09-03,1893,FALSE,Mayville Police Department, ND
"Deputy U.S. Marshal Lafayette ""Lafe"" Shadley","United States Department of Justice - United States Marshals Service, US","EOW: Sunday, September 3, 1893",Cause of Death: Gunfire,Gunfire,1893-09-03,1893,FALSE,United States Department of Justice - United States Marshals Service, US
Patrolman Thomas Gleason,"New York Police Department, NY","EOW: Tuesday, September 5, 1893",Cause of Death: Animal related,Animal related,1893-09-05,1893,FALSE,New York Police Department, NY
Officer R. H. West,"Hopkinsville Police Department, KY","EOW: Wednesday, September 6, 1893",Cause of Death: Gunfire,Gunfire,1893-09-06,1893,FALSE,Hopkinsville Police Department, KY
Officer John Springer,"Lafayette Police Department, IN","EOW: Saturday, September 9, 1893",Cause of Death: Fall,Fall,1893-09-09,1893,FALSE,Lafayette Police Department, IN
Captain Joshua Bromwell,"Maryland Board of Public Works - State Fishery Force, MD","EOW: Sunday, September 17, 1893",Cause of Death: Drowned,Drowned,1893-09-17,1893,FALSE,Maryland Board of Public Works - State Fishery Force, MD
Night Policeman Tim O'Brien,"Chicago, Milwaukee and St. Paul Railroad Police Department, RR","EOW: Monday, October 2, 1893",Cause of Death: Gunfire,Gunfire,1893-10-02,1893,FALSE,"Chicago, Milwaukee and St. Paul Railroad Police Department", RR
Policeman Cal Smith,"Paducah Police Department, KY","EOW: Tuesday, October 3, 1893",Cause of Death: Gunfire,Gunfire,1893-10-03,1893,FALSE,Paducah Police Department, KY
Patrolman John Pettaway,"New Orleans Police Department, LA","EOW: Tuesday, October 10, 1893",Cause of Death: Gunfire,Gunfire,1893-10-10,1893,FALSE,New Orleans Police Department, LA
Patrolman Daniel Hartman,"Crestline Police Department, OH","EOW: Monday, October 16, 1893",Cause of Death: Gunfire,Gunfire,1893-10-16,1893,FALSE,Crestline Police Department, OH
Night Policeman George William James,"Georgetown Police Department, KY","EOW: Sunday, October 22, 1893",Cause of Death: Gunfire,Gunfire,1893-10-22,1893,FALSE,Georgetown Police Department, KY
Police Officer Hugh Hicks Siverd,"Winfield Police Department, KS","EOW: Thursday, October 26, 1893",Cause of Death: Gunfire,Gunfire,1893-10-26,1893,FALSE,Winfield Police Department, KS
Deputy Sheriff Jesse W. Hendrickson,"Grant County Sheriff's Department, OK","EOW: Saturday, November 11, 1893",Cause of Death: Gunfire,Gunfire,1893-11-11,1893,FALSE,Grant County Sheriff's Department, OK
Sheriff James Montgomery Breedlove,"Henry County Sheriff's Department, TN","EOW: Monday, November 13, 1893",Cause of Death: Gunfire,Gunfire,1893-11-13,1893,FALSE,Henry County Sheriff's Department, TN
Deputy Sheriff Harrison A. Whitman,"Oxford County Sheriff's Office, ME","EOW: Saturday, November 18, 1893",Cause of Death: Gunfire,Gunfire,1893-11-18,1893,FALSE,Oxford County Sheriff's Office, ME
Deputy Sheriff George Davidson,"Ontonagon County Sheriff's Office, MI","EOW: Tuesday, November 21, 1893",Cause of Death: Gunfire,Gunfire,1893-11-21,1893,FALSE,Ontonagon County Sheriff's Office, MI
Private J. W. Woods,"Texas Rangers, TX","EOW: Thursday, November 30, 1893",Cause of Death: Assault,Assault,1893-11-30,1893,FALSE,Texas Rangers, TX
Patrolman Edward J. Carney,"Chicago Police Department, IL","EOW: Friday, December 8, 1893",Cause of Death: Gunfire,Gunfire,1893-12-08,1893,FALSE,Chicago Police Department, IL
Deputy Sheriff Thomas J. Deaton,"Hamilton County Sheriff's Department, TX","EOW: Friday, December 8, 1893",Cause of Death: Gunfire,Gunfire,1893-12-08,1893,FALSE,Hamilton County Sheriff's Department, TX
"Constable James K. ""Polk"" Phillips","Tyler County Constable's Office - Precinct 2, TX","EOW: Monday, December 11, 1893",Cause of Death: Gunfire,Gunfire,1893-12-11,1893,FALSE,Tyler County Constable's Office - Precinct 2, TX
Constable James S. Childress,"Marshall County Constable's Office, AL","EOW: Thursday, December 14, 1893",Cause of Death: Gunfire,Gunfire,1893-12-14,1893,FALSE,Marshall County Constable's Office, AL
Merchant Policeman John L. Watterson,"Indianapolis Police Department, IN","EOW: Saturday, December 23, 1893",Cause of Death: Stabbed,Stabbed,1893-12-23,1893,FALSE,Indianapolis Police Department, IN
Private George W. Crump,"Alexandria Police Department, VA","EOW: Thursday, December 28, 1893",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1893-12-28,1893,FALSE,Alexandria Police Department, VA
City Marshal Peter John Larson,"Dayton Police Department, IA","EOW: Wednesday, January 3, 1894",Cause of Death: Gunfire,Gunfire,1894-01-03,1894,FALSE,Dayton Police Department, IA
Constable A. Mose Townsend,"Colorado County Constable's Office - Precinct 4, TX","EOW: Thursday, January 18, 1894",Cause of Death: Stabbed,Stabbed,1894-01-18,1894,FALSE,Colorado County Constable's Office - Precinct 4, TX
Special Agent William E. Ransom,"Union Pacific Railroad Police Department, RR","EOW: Monday, January 29, 1894",Cause of Death: Assault,Assault,1894-01-29,1894,FALSE,Union Pacific Railroad Police Department, RR
Sheriff Hamilton Bass Dickson,"Wharton County Sheriff's Department, TX","EOW: Wednesday, February 7, 1894",Cause of Death: Gunfire,Gunfire,1894-02-07,1894,FALSE,Wharton County Sheriff's Department, TX
Patrolman J. C. Neve,"Savannah Police Department, GA","EOW: Saturday, February 10, 1894",Cause of Death: Gunfire,Gunfire,1894-02-10,1894,FALSE,Savannah Police Department, GA
Constable David Ike Sutton,"Colorado County Constable's Office - Precinct 8, TX","EOW: Monday, February 19, 1894",Cause of Death: Gunfire,Gunfire,1894-02-19,1894,FALSE,Colorado County Constable's Office - Precinct 8, TX
Deputy Sheriff John Cowlett,"Sumter County Sheriff's Office, AL","EOW: Monday, February 26, 1894",Cause of Death: Gunfire,Gunfire,1894-02-26,1894,FALSE,Sumter County Sheriff's Office, AL
Deputy Keeper James B. Lippincott,"New Jersey Department of Corrections, NJ","EOW: Friday, March 2, 1894",Cause of Death: Gunfire,Gunfire,1894-03-02,1894,FALSE,New Jersey Department of Corrections, NJ
Patrolman Charles H. Wilson,"Shreveport Police Department, LA","EOW: Tuesday, March 6, 1894",Cause of Death: Gunfire,Gunfire,1894-03-06,1894,FALSE,Shreveport Police Department, LA
Deputy Sheriff John Tillie Morgan,"McMullen County Sheriff's Office, TX","EOW: Thursday, March 15, 1894",Cause of Death: Gunfire,Gunfire,1894-03-15,1894,FALSE,McMullen County Sheriff's Office, TX
Deputized Civilian John T. Horton,"Young County Sheriff's Office, TX","EOW: Tuesday, March 20, 1894",Cause of Death: Gunfire,Gunfire,1894-03-20,1894,FALSE,Young County Sheriff's Office, TX
"Private Joseph W. ""Joe"" McKidrict","Texas Rangers, TX","EOW: Thursday, April 5, 1894",Cause of Death: Gunfire,Gunfire,1894-04-05,1894,FALSE,Texas Rangers, TX
City Marshal A. E. Cook,"Como Marshal's Office, CO","EOW: Saturday, April 7, 1894",Cause of Death: Gunfire,Gunfire,1894-04-07,1894,FALSE,Como Marshal's Office, CO
Police Officer John W. Flynn,"Helena Police Department, MT","EOW: Wednesday, April 11, 1894",Cause of Death: Gunfire,Gunfire,1894-04-11,1894,FALSE,Helena Police Department, MT
Sergeant Alonzo M. Wilson,"Salt Lake City Police Department, UT","EOW: Thursday, April 12, 1894",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1894-04-12,1894,FALSE,Salt Lake City Police Department, UT
Officer W. J. Haynie,"Monroe Police Department, LA","EOW: Friday, April 20, 1894",Cause of Death: Gunfire,Gunfire,1894-04-20,1894,FALSE,Monroe Police Department, LA
Deputy Sheriff John Myers,"Gunnison County Sheriff's Office, CO","EOW: Tuesday, April 24, 1894",Cause of Death: Gunfire,Gunfire,1894-04-24,1894,FALSE,Gunnison County Sheriff's Office, CO
Constable Nathan Busby,"Milam County Constable's Office - Precinct 4, TX","EOW: Thursday, April 26, 1894",Cause of Death: Stabbed,Stabbed,1894-04-26,1894,FALSE,Milam County Constable's Office - Precinct 4, TX
City Marshal Abner Whitney,"Missouri Valley Police Department, IA","EOW: Saturday, April 28, 1894",Cause of Death: Gunfire,Gunfire,1894-04-28,1894,FALSE,Missouri Valley Police Department, IA
Marshal John B. Silcox,"Shelby City Police Department, KY","EOW: Saturday, April 28, 1894",Cause of Death: Gunfire,Gunfire,1894-04-28,1894,FALSE,Shelby City Police Department, KY
Deputy U.S. Marshal Bill Harrison,"United States Department of Justice - United States Marshals Service, US","EOW: Wednesday, May 9, 1894",Cause of Death: Gunfire,Gunfire,1894-05-09,1894,FALSE,United States Department of Justice - United States Marshals Service, US
Sheriff Joseph A. Peeler,"Clay County Sheriff's Office, FL","EOW: Thursday, May 10, 1894",Cause of Death: Gunfire,Gunfire,1894-05-10,1894,FALSE,Clay County Sheriff's Office, FL
Deputy Sheriff Francis Melville Pike,"Fairfield County Sheriff's Office, CT","EOW: Sunday, May 13, 1894",Cause of Death: Heart attack,Heart attack,1894-05-13,1894,FALSE,Fairfield County Sheriff's Office, CT
Chief of Detectives Lenard Harris,"Southern Pacific Railroad Police Department, RR","EOW: Wednesday, May 16, 1894",Cause of Death: Gunfire,Gunfire,1894-05-16,1894,FALSE,Southern Pacific Railroad Police Department, RR
Constable James H. Farrar,"Lincoln Police Department, MA","EOW: Thursday, May 17, 1894",Cause of Death: Gunfire,Gunfire,1894-05-17,1894,FALSE,Lincoln Police Department, MA
Deputy Sheriff Sam Farris,"Canadian County Sheriff's Office, OK","EOW: Wednesday, May 23, 1894",Cause of Death: Gunfire,Gunfire,1894-05-23,1894,FALSE,Canadian County Sheriff's Office, OK
Deputy U.S. Marshal Thomas L. Martin,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, June 4, 1894",Cause of Death: Gunfire,Gunfire,1894-06-04,1894,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Sequoyah Houstan,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Sunday, June 17, 1894",Cause of Death: Gunfire,Gunfire,1894-06-17,1894,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Police Officer Michael Neary,"Baltimore City Police Department, MD","EOW: Wednesday, June 20, 1894",Cause of Death: Struck by train,Struck by train,1894-06-20,1894,FALSE,Baltimore City Police Department, MD
Police Officer James T. Dunn,"Baltimore City Police Department, MD","EOW: Wednesday, June 20, 1894",Cause of Death: Struck by train,Struck by train,1894-06-20,1894,FALSE,Baltimore City Police Department, MD
Policeman Dennis W. Daly,"Butte Police Department, MT","EOW: Wednesday, July 4, 1894",Cause of Death: Gunfire,Gunfire,1894-07-04,1894,FALSE,Butte Police Department, MT
Night Policeman Arucius R. Koon,"New Straitsville Police Department, OH","EOW: Wednesday, July 4, 1894",Cause of Death: Gunfire,Gunfire,1894-07-04,1894,FALSE,New Straitsville Police Department, OH
Police Officer Albert Jacobson,"Hastings Police Department, MN","EOW: Tuesday, July 10, 1894",Cause of Death: Gunfire,Gunfire,1894-07-10,1894,FALSE,Hastings Police Department, MN
Special Deputy Marshal Jessie B. Bristol,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, July 12, 1894",Cause of Death: Train accident,Train accident,1894-07-12,1894,FALSE,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal William A. Pross,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, July 12, 1894",Cause of Death: Train accident,Train accident,1894-07-12,1894,FALSE,United States Department of Justice - United States Marshals Service, US
Patrolman John J. Dempsey,"Chicago Police Department, IL","EOW: Saturday, July 14, 1894",Cause of Death: Struck by train,Struck by train,1894-07-14,1894,FALSE,Chicago Police Department, IL
Deputy Sheriff B. W. Pearce,"Jefferson County Sheriff's Office, AL","EOW: Sunday, July 15, 1894",Cause of Death: Gunfire,Gunfire,1894-07-15,1894,FALSE,Jefferson County Sheriff's Office, AL
Deputy U.S. Marshal Abner D. McLellan,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, July 20, 1894",Cause of Death: Gunfire,Gunfire,1894-07-20,1894,FALSE,United States Department of Justice - United States Marshals Service, US
Officer Horace E. Thompson,"Brunswick Police Department, GA","EOW: Saturday, July 21, 1894",Cause of Death: Gunfire,Gunfire,1894-07-21,1894,FALSE,Brunswick Police Department, GA
Deputy Sheriff Charles M. Cole,"Jefferson County Sheriff's Office, AL","EOW: Tuesday, July 24, 1894",Cause of Death: Gunfire,Gunfire,1894-07-24,1894,FALSE,Jefferson County Sheriff's Office, AL
Deputy Sheriff James Walton Smith,"Jefferson County Sheriff's Office, AL","EOW: Tuesday, July 24, 1894",Cause of Death: Gunfire,Gunfire,1894-07-24,1894,FALSE,Jefferson County Sheriff's Office, AL
Deputy Warden Willoughby Howard Nelson,"Tennessee Department of Correction, TN","EOW: Friday, July 27, 1894",Cause of Death: Bomb,Bomb,1894-07-27,1894,FALSE,Tennessee Department of Correction, TN
Officer William W. Weathered,"Lexington Police Department, KY","EOW: Sunday, July 29, 1894",Cause of Death: Gunfire,Gunfire,1894-07-29,1894,FALSE,Lexington Police Department, KY
Sheriff Isaac Walkingstick,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Sunday, July 29, 1894",Cause of Death: Gunfire,Gunfire,1894-07-29,1894,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Patrolman William Feeley,"Chicago Police Department, IL","EOW: Tuesday, July 31, 1894",Cause of Death: Struck by train,Struck by train,1894-07-31,1894,FALSE,Chicago Police Department, IL
Sergeant Michael Gannon,"St. Louis Metropolitan Police Department, MO","EOW: Friday, August 3, 1894",Cause of Death: Struck by train,Struck by train,1894-08-03,1894,FALSE,St. Louis Metropolitan Police Department, MO
